location_name,series_label,start_year,end_year,latitude,longitude
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581
Olga Creek (Upper Station),coho,2006,2025,57.0572222,-154.3581
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581
Olga Creek (Upper Station),steelhead,2006,2025,57.0572222,-154.3581
Olga Creek (Upper Station),sockeye late run,2018,2025,57.0572222,-154.3581
Olga Creek (Upper Station),sockeye early run,2008,2025,57.0572222,-154.3581
Orzinski Lake,chum,2007,2025,55.7333,-160.0833
Orzinski Lake,coho,2007,2024,55.7333,-160.0833
Orzinski Lake,pink,2007,2025,55.7333,-160.0833
Orzinski Lake,sockeye,2006,2025,55.7333,-160.0833
Pasagshak,chinook,2016,2024,57.425,-152.1417
Pasagshak,chum,2011,2025,57.425,-152.1417
Pasagshak,coho,2015,2025,57.425,-152.1417
Pasagshak,pink,2011,2025,57.425,-152.1417
Pasagshak,sockeye,2011,2025,57.425,-152.1417
Pasagshak,steelhead,2024,2024,57.425,-152.1417
Pauls Bay River,chum,2014,2016,58.2619,-152.4831
Pauls Bay River,coho,2001,2016,58.2619,-152.4831
Pauls Bay River,pink,2014,2016,58.2619,-152.4831
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831
Redoubt Lake,sockeye,1953,2025,56.8911,-135.2478
Russian River,chinook,2002,2025,60.4867,-150.0006
Russian River,chum,1999,2025,60.4867,-150.0006
Russian River,coho,1978,2025,60.4867,-150.0006
Russian River,sockeye late run,1960,2025,60.4867,-150.0006
Russian River,sockeye early run,1960,2025,60.4867,-150.0006
Russian River,chinook late run,1999,2025,60.4867,-150.0006
Salcha River,chinook,2002,2025,64.471528,-146.928056
Salcha River,chum,2005,2025,64.471528,-146.928056
Salcha River,chum summer,2011,2023,64.471528,-146.928056
Saltery Creek,chinook,2009,2023,57.5067,-152.7425
Saltery Creek,chum,2008,2025,57.5067,-152.7425
Saltery Creek,coho,2002,2025,57.5067,-152.7425
Saltery Creek,pink,2008,2025,57.5067,-152.7425
Saltery Creek,sockeye,1993,2025,57.5067,-152.7425
Sandy River,chinook,2006,2024,56.1167,-159.9167
Sandy River,chum,2006,2024,56.1167,-159.9167
Sandy River,pink,2006,2024,56.1167,-159.9167
Sandy River,sockeye,2006,2024,56.1167,-159.9167
Situk River,chinook,1999,2025,59.4455,-139.554
Situk River,chum,1999,2025,59.4455,-139.554
Situk River,coho,2017,2025,59.4455,-139.554
Situk River,pink,2017,2025,59.4455,-139.554
Situk River,sockeye,1999,2025,59.4455,-139.554
Situk River,steelhead,1999,2025,59.4455,-139.554
Togiak River,sockeye,1960,2011,59.5353,-159.6864
Ugashik River,sockeye,1957,2011,57.5141,-157.4048
Wasilla Creek,chinook,1998,2003,61.62053,-149.18803
Wasilla Creek,chum,1997,2003,61.62053,-149.18803
Wasilla Creek,coho,1997,2003,61.62053,-149.18803
Wasilla Creek,pink,1998,2003,61.62053,-149.18803
Wasilla Creek,sockeye,1997,2003,61.62053,-149.18803
Wood River,sockeye,1956,2011,59.184,-158.575
Yentna River,sockeye,1981,2008,,
